name,countries,num_sites,tags,notes,status,data_policy_beltfish,data_policy_benthiclit,data_policy_benthicpit,data_policy_benthicpqt,data_policy_habitatcomplexity,data_policy_bleachingqc,created_on,updated_on
Liang Ngali MPA 2018,Indonesia,16,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2018-09-18T11:14:25.265047Z,2020-07-24T01:20:16.732990Z
Lipan - Rakit MPA_2021,Indonesia,15,WCS Indonesia,,Open,Private,Private,Private,Public Summary,Private,Private,2021-03-22T10:53:55.384974Z,2024-02-14T10:03:27.163709Z
Lunyuk 2014,Indonesia,2,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-07-01T00:47:13.058351Z,2021-07-01T00:49:32.545486Z
MERMAID reef survey,"Indonesia, Mozambique",7,WCS,,Open,Private,Public Summary,Public Summary,Public Summary,Public Summary,Public,2023-03-28T06:47:03.350142Z,2024-02-28T04:46:00.972310Z
MPA Aceh,Indonesia,1,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2020-10-21T15:34:59.035638Z,2020-10-21T15:34:59.035682Z
MPA Guraici 2017,Indonesia,17,WCS Indonesia,,Open,Public Summary,Private,Private,Public Summary,Private,Private,2020-09-11T09:29:06.022391Z,2020-09-11T09:29:06.022426Z
MPA Mare 2017,Indonesia,11,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Private,2020-09-15T17:54:49.896437Z,2020-09-15T18:13:54.800028Z
MPA Widi 2017,Indonesia,11,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Private,2020-09-15T18:19:00.038564Z,2020-09-15T18:19:00.038600Z
Mare Island MPA 2020,Indonesia,14,WCS Indonesia,,Open,Private,Private,Private,Public Summary,Private,Private,2020-08-14T08:27:19.983985Z,2021-04-19T02:20:36.825887Z
Medang MPA_2019,Indonesia,6,WCS Indonesia,,Open,Private,Private,Private,Public Summary,Private,Private,2019-11-08T02:32:34.614345Z,2022-06-10T03:50:46.747749Z
Minut 2016,Indonesia,13,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-06-03T15:33:07.615974Z,2021-06-03T17:47:20.993004Z
Minut 2016 - PRASARI,Indonesia,13,WCS Indonesia,,Open,Private,Private,Private,Public Summary,Private,Private,2022-04-18T07:42:44.698801Z,2022-04-18T08:16:00.827690Z
Minut 2016 - Test,Indonesia,13,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2022-04-18T07:09:40.597912Z,2022-04-18T07:09:40.597945Z
Minut 2016 - Test Awan,Indonesia,13,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2022-04-18T07:47:02.421765Z,2024-02-28T02:45:54.799751Z
Minut 2016 - Test Eko,Indonesia,13,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2022-04-18T07:41:27.501222Z,2022-04-18T07:41:27.501267Z
Minut 2016 -Eko,Indonesia,13,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2022-04-18T07:44:56.091843Z,2022-04-18T07:44:56.091903Z
Minut 2023,Indonesia,16,WCS Indonesia,Minahasa Utara MPA,Open,Private,Private,Private,Public Summary,Private,Private,2023-10-28T02:53:20.049136Z,2023-12-19T06:17:03.422432Z
Moti-Makian Island MPA 2019,Indonesia,13,WCS Indonesia,,Open,Private,Private,Private,Public Summary,Private,Private,2019-05-08T02:35:16.635938Z,2021-04-19T02:21:13.117778Z
Moyo 2014,Indonesia,4,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-06-06T09:03:12.432826Z,2021-07-01T01:09:21.062290Z
Murex H2,Indonesia,1,WCS Indonesia,Monitoring ikan karang ke 2,Open,Private,Private,Private,Public Summary,Private,Private,2021-09-24T10:23:36.011951Z,2021-09-24T10:27:18.397449Z
Murex resort H2,Indonesia,1,WCS Indonesia,Monitoring ikan karang H2,Open,Private,Private,Private,Public Summary,Private,Private,2021-09-24T12:33:30.757426Z,2021-09-24T12:38:32.086727Z
"North Sulawesi (Minut, Sitaro, Tatoareng) 2019",Indonesia,44,WCS Indonesia,"Minahasa Utara MPA, Sitaro MPA, and Tatoareng MPA",Open,Private,Private,Private,Public Summary,Private,Private,2019-09-24T10:11:36.212541Z,2021-04-19T02:28:36.847179Z
Open Close Maer - Karimunjawa,Indonesia,2,WCS Indonesia,"This is an open close tourism study project in site Maer, Karimunjawa National Park.",Open,Private,Private,Private,Public Summary,Private,Private,2020-11-25T02:40:35.326043Z,2022-04-11T05:22:20.956096Z
PELATIHAN ACEH 2021,Indonesia,2,WCS Indonesia,,Open,Private,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-04-06T14:54:57.984754Z,2021-04-07T14:51:38.549385Z
Panjang + Saringgit 2014,Indonesia,5,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-06-06T09:04:35.615973Z,2021-07-04T14:25:01.033842Z
Panjang - Saringgit MPA,Indonesia,12,WCS Indonesia,Pisahkan data tahun 2019 dengan 2022,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2019-04-30T09:06:27.069928Z,2024-02-14T09:35:27.626614Z
Pulau Moyo MPA,Indonesia,11,WCS Indonesia,Pisahkan data tahun 2019 dengaan 2022,Open,Private,Private,Private,Public Summary,Private,Private,2019-11-08T02:37:45.430107Z,2022-12-01T09:22:26.847054Z
Pulau Weh 2022,Indonesia,22,"WCS Indonesia, Vibrant Oceans",TWAL Pulau Weh dan SAP Pesisir Timur Pulau Weh,Open,Private,Private,Private,Public Summary,Private,Private,2022-06-24T03:04:39.904029Z,2023-01-23T06:20:09.348323Z
Rakit Lipan 2018,Indonesia,15,WCS Indonesia,MERMAID import of Rakit Lipan monitoring surveys from 2018,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2020-08-06T15:19:14.302207Z,2021-04-14T08:36:11.877929Z
Rao-Tj.Dehegila MPA 2020,Indonesia,23,WCS Indonesia,,Open,Private,Private,Private,Public Summary,Private,Private,2020-08-14T04:00:35.198862Z,2021-04-19T02:18:20.761121Z
Sangiang MPA_2020,Indonesia,10,WCS Indonesia,,Open,Private,Private,Private,Public Summary,Private,Private,2020-09-26T17:08:41.843507Z,2022-12-01T08:48:30.373713Z
Satonda MPA,Indonesia,9,WCS Indonesia,Pisahkan data antara tahun 2019 dengan 2022,Open,Private,Private,Private,Public Summary,Private,Private,2019-11-08T02:40:34.187783Z,2022-12-01T09:28:10.842473Z
Sayafi - Patani North Maluku 2022,Indonesia,11,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2022-03-04T08:42:42.112904Z,2022-04-12T08:31:48.027442Z
Sitaro 2023,Indonesia,11,WCS Indonesia,Sitaro MPA,Open,Private,Private,Private,Public Summary,Private,Private,2023-10-28T01:32:28.748637Z,2023-12-18T02:35:52.751480Z
"Sulat Lawang 2013, 2017",Indonesia,15,WCS Indonesia,MERMAID import project for 2013 and 2017 monitoring surveys in Sulat Lawang,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2020-08-06T15:07:20.801951Z,2021-04-14T08:40:07.065188Z
TAKABONARATE 2015 _ DELETE2,Indonesia,46,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Private,2021-09-13T07:50:12.343527Z,2021-09-21T04:50:21.774999Z
TPK KBT 2014,Indonesia,4,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-07-01T01:18:27.511152Z,2021-07-01T01:29:37.860029Z
TWP Gili Balu (Students),Indonesia,12,WCS Indonesia,"Upcoming Activities : 
> Upload data survei tahun 2015",Open,Private,Private,Private,Public Summary,Private,Private,2023-10-27T12:28:21.229374Z,2023-11-15T06:42:00.984741Z
TWP KABETE (Students),Indonesia,7,WCS Indonesia,,Open,Private,Private,Private,Public Summary,Private,Private,2023-10-27T12:21:28.344182Z,2023-11-14T16:59:54.324769Z
Taka Bonerate 2015,Indonesia,46,"WCS Indonesia, Vibrant Oceans",,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2020-09-20T11:30:29.622478Z,2022-05-30T08:47:20.116400Z
Taka Bonerate 2015 - Delete,Indonesia,46,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-05-17T09:33:27.386731Z,2021-07-06T05:17:39.406092Z
Taka Bonerate NP-2019,Indonesia,39,"WCS Indonesia, Vibrant Oceans",,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2019-09-24T10:03:06.500405Z,2021-06-03T13:14:02.476449Z
Taka Bonerate NP-2021,Indonesia,39,"WCS Indonesia, Vibrant Oceans",,Open,Private,Private,Private,Public Summary,Private,Private,2021-10-16T10:48:42.277534Z,2022-05-27T15:07:23.998093Z
Tangkoko 2023,Indonesia,13,WCS Indonesia,,Open,Private,Private,Private,Public Summary,Private,Private,2023-06-11T01:21:19.437821Z,2023-07-03T03:28:19.882561Z
Tatoareng MPA 2022,Indonesia,21,WCS Indonesia,,Open,Private,Private,Private,Public Summary,Private,Private,2022-10-26T14:17:27.755012Z,2022-11-13T03:15:12.490384Z
Teluk Cempi MPA_2022,Indonesia,7,WCS Indonesia,,Open,Private,Private,Private,Public Summary,Private,Private,2019-11-08T02:44:24.924710Z,2022-12-29T08:21:29.321294Z
Waworada 2015,Indonesia,6,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2021-06-06T09:10:37.757817Z,2021-07-06T15:14:09.653007Z
Widi Islands MPA 2020,Indonesia,15,WCS Indonesia,,Open,Private,Private,Private,Public Summary,Private,Private,2020-08-17T08:03:48.090085Z,2021-04-19T02:18:59.148565Z
pulau gosong,Indonesia,1,WCS Indonesia,,Open,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,Public Summary,2020-10-14T15:08:52.042636Z,2020-10-14T15:08:52.042673Z
